text,letterColor,corrAns,condition,word_es,word_en
열광,blue,blue,positive,entusiasmar,enthuse
화,green,green,negative,enfadar,anger
가벼운,green,green,neutral,liviano,light
가능한,green,green,positive,posible,possible
끔찍한,red,red,negative,monstruoso,monstrous
꼼꼼한,red,red,neutral,meticuloso,meticulous
의식있는,red,red,positive,consciente,conscious
고뇌,blue,blue,negative,agonizar,agonize
경고,blue,blue,neutral,advertir,warn
겸손,blue,blue,positive,humildad,humility
바보,green,green,negative,zopenco,dolt
스케치,green,green,neutral,esbozar,sketch
다정함,green,green,positive,ternura,tenderness
비방,red,red,negative,denigrar,denigrate
공간적,red,red,neutral,espacial,spatial
창의적,red,red,positive,creativo,creative
폭발,blue,blue,negative,estallar,explode
단순한,blue,blue,neutral,sencillo,simple
좋아하는,blue,blue,positive,favorito,favorite
심연,green,green,negative,abismo,abyss
별명,green,green,neutral,apodar,nickname
카네이션,green,green,positive,clavel,carnation
도난,red,red,negative,robo,theft
건조한,red,red,neutral,seco,dry
물,red,red,positive,agua,water
우울한,blue,blue,negative,tétrico,gloomy
그래픽,blue,blue,neutral,gráfico,graphic
수영장,blue,blue,positive,piscina,pool
항암치료,green,green,negative,quimioterapia,chemotherapy
북쪽의,green,green,neutral,septentrional,northern
뛰어난,green,green,positive,sobresaliente,outstanding
부은,red,red,negative,hinchado,swollen
협상,red,red,neutral,negociar,negotiate
역동적,red,red,positive,dinámico,dynamic
목조르다,blue,blue,negative,estrangular,strangle
체계적,blue,blue,neutral,sistemático,systematic
수압마사지,blue,blue,positive,hidromasaje,hydromassage
무장시키다,green,green,negative,armar,arm
수준,green,green,neutral,nivel,level
밤,green,green,positive,noche,night
굴욕,red,red,negative,humillación,humiliation
미끄러운,red,red,neutral,escurridizo,slippery
축하,red,red,positive,celebración,celebration
목매달다,blue,blue,negative,ahorcar,hang
연금,blue,blue,neutral,pensión,pension
선물,blue,blue,positive,regalar,gift
엄격한,green,green,negative,estricto,strict
깎다,green,green,neutral,esquilar,shear
밝은,green,green,positive,luminoso,bright
잃다,red,red,negative,perder,lose
인종의,red,red,neutral,racial,racial
빠에야,red,red,positive,paella,paella
나치,blue,blue,negative,nazi,nazi
것,blue,blue,neutral,cosa,thing
웃다,blue,blue,positive,reír,laugh
사망,green,green,negative,fallecer,die
갈다,green,green,neutral,triturar,grind
기쁨,green,green,positive,encantar,delight
모욕당한,red,red,negative,insultado,insulted
반대의,red,red,neutral,contrario,contrary
강함,red,red,positive,fortaleza,fortress
