번호,스페인어,영어,한국어,정서가,글자수,검토필요,검토이유
115,hinchado,swollen,부은,negative,2,,
116,negociar,negotiate,협상,neutral,2,,
117,dinámico,dynamic,역동적,positive,3,,
118,estrangular,strangle,목졸라,negative,3,⚠️,폭력적 표현
119,sistemático,systematic,체계적,neutral,3,,
120,hidromasaje,hydromassage,수압마사지,positive,5,⚠️,단어 너무 길고 생소함
121,armar,arm,무장,negative,2,⚠️,중립적일 수 있음
122,nivel,level,수준,neutral,2,,
123,noche,night,밤,positive,1,⚠️,중립적일 수 있음
124,humillación,humiliation,굴욕,negative,2,,
125,escurridizo,slippery,미끄러운,neutral,4,,
126,celebración,celebration,축하,positive,2,,
127,ahorcar,hang,목매달다,negative,4,⚠️,폭력적/자살 관련 표현
128,pensión,pension,연금,neutral,2,,
129,regalar,gift,선물,positive,2,,
130,estricto,strict,엄격한,negative,3,⚠️,중립적일 수 있음
131,esquilar,shear,깎다,neutral,2,,
132,luminoso,bright,밝은,positive,2,,
133,perder,lose,잃다,negative,2,,
134,racial,racial,인종의,neutral,3,⚠️,민감한 주제
135,paella,paella,빠에야,positive,3,⚠️,문화적 차이 (한국인에게 생소)
136,nazi,nazi,나치,negative,2,⚠️,역사적/정치적 민감 주제
137,cosa,thing,것,neutral,1,,
138,reír,laugh,웃다,positive,2,,
139,fallecer,die,사망,negative,2,,
140,triturar,grind,갈다,neutral,2,,
141,encantar,delight,기쁨,positive,2,,
142,insultado,insulted,모욕당한,negative,4,,
143,contrario,contrary,반대의,neutral,3,,
144,fortaleza,fortress,요새,positive,2,⚠️,"strength" 의미면 긍정 / "fortress" 면 중립
